Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Anio_Venta,Mes_Venta,Trimestre_Venta,Ciudad_Invalida_Origen,Cantidad_Sospechosa_Origen,Costo_Envio_Imputado,Tiempo_Entrega_Imputado,Ingreso_Bruto,Ingreso_Neto_Logistico,Ratio_Envio_Venta,Entrega_Tardia,Brecha_SLA,Antiguedad_Dias,Registro_Confiable_Transaccion,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision,Categoria_Imputada,Stock_Imputado,Costo_Unitario_Winsorizado,Lead_Time_Dias_Original,Lead_Time_Imputado,Antiguedad_Revision_Dias,Valor_Inventario,Ratio_Stock_Reorden,Alta_Disponibilidad,Registro_Confiable_Inventario,SKU_Fantasma,Rating_Producto,Rating_Logistica,Rating_Promedio,Satisfaccion_NPS,Ticket_Soporte_Abierto,Recomienda_Marca,Segmento_NPS,Tiene_Feedback,Costo_Fantasma_Imputado,Margen_Utilidad_Unitario,Margen_Utilidad_Pct,Margen_Utilidad,Brecha_Entrega_vs_Prometido,Ingreso_En_Riesgo,Ratio_Soporte_Categoria
TRX-10000,PROD-3619,2025-04-25,7.0,1752.48,51.93,15.0,Entregado,Bucaramanga,Físico,2025,2025-04,2025Q2,False,True,True,True,12267.36,12215.43,0.42331846460852207,False,0.0,285,False,,,1338.3492010751074,,,,,,,,,,,,,,,True,4.0,1.0,2.5,81.7,True,Si,Promotor,True,True,414.1307989248926,23.631128396608954,2898.915592474248,0.0,12267.36,
TRX-10001,PROD-1456,2025-07-29,12.0,686.88,67.16,15.0,Entregado,,WhatsApp,2025,2025-07,2025Q3,True,False,False,False,8242.56,8175.4,0.8147954033698269,False,0.0,190,False,Laptops,1935.0,245.14,115.0,10.0,Norte,2025-11-16,False,False,False,10,False,76.0,474345.89999999997,16.82608695652174,True,True,False,3.0,1.0,2.0,-45.6,True,No,Detractor,True,False,441.74,64.31108781737713,5300.88,0.0,0.0,0.18764153995470723
TRX-10002,PROD-1102,2025-05-31,2.0,402.06,32.55,13.0,Perdido,Medellin,Físico,2025,2025-05,2025Q2,False,False,False,False,804.12,771.57,4.047903298015221,False,-2.0,249,True,Tablets,1180.0,722.77,203.0,3.0,Norte,2025-05-16,False,False,False,3,False,260.0,852868.6,5.812807881773399,True,True,False,,,,,,,,False,False,-320.71,-79.7667014873402,-641.42,-2.0,0.0,0.18172888015717092
TRX-10003,PROD-2126,2026-01-23,4.0,665.98,62.64,12.0,Perdido,Medellin,Online,2026,2026-01,2026Q1,False,False,False,False,2663.92,2601.28,2.3514219646235626,False,-3.0,12,True,Accesorios,856.0,1288.22,261.0,3.0,ZONA_FRANCA,2024-09-04,False,False,False,3,False,514.0,1102716.32,3.2796934865900385,True,True,False,,,,,,,,False,False,-622.24,-93.43223520225833,-2488.96,-3.0,0.0,0.18234723569350145
TRX-10004,PROD-2003,2025-10-09,5.0,1222.62,52.91,15.0,Entregado,Bogota,App,2025,2025-10,2025Q4,False,False,False,False,6113.099999999999,6060.19,0.8655183131308175,False,0.0,118,True,Laptops,1399.0,839.17,193.0,27.5,BOD-EXT-99,2025-09-02,False,False,False,25-30 días,False,151.0,1173998.8299999998,7.248704663212435,True,True,False,,,,,,,,False,False,383.44999999999993,31.36297459554072,1917.2499999999995,0.0,0.0,0.18764153995470723
TRX-10005,PROD-1914,2025-11-05,2.0,740.61,25.63,29.0,Retrasado,Medellin,Online,2025,2025-11,2025Q4,False,False,False,False,1481.22,1455.59,1.7303304033161853,True,14.0,91,True,Accesorios,1544.0,440.28,178.0,10.0,BOD-EXT-99,2024-03-17,False,False,False,10,False,685.0,679792.32,8.674157303370787,True,True,False,,,,,,,,False,False,300.33000000000004,40.55170737635193,600.6600000000001,14.0,0.0,0.18234723569350145
TRX-10006,PROD-1571,2025-06-20,12.0,1349.06,30.32,23.0,Sin_Informacion,Bogota,Físico,2025,2025-06,2025Q2,False,False,False,False,16188.72,16158.4,0.18729090378979932,True,8.0,229,True,Smartphones,1618.0,1496.74,292.0,10.0,Norte,2025-07-30,False,False,False,10,False,185.0,2421725.32,5.541095890410959,True,True,False,,,,,,,,False,False,-147.68000000000006,-10.946881532326218,-1772.1600000000008,8.0,0.0,0.18093855829704886
TRX-10007,PROD-1419,2025-11-18,8.0,481.5,21.21,13.0,Perdido,Cali,App,2025,2025-11,2025Q4,False,False,False,False,3852.0,3830.79,0.5506230529595015,False,-2.0,78,True,Laptops,430.0,479.1,207.0,10.0,BOD-EXT-99,2024-05-06,False,False,False,10,False,635.0,206013.0,2.077294685990338,True,True,False,,,,,,,,False,False,2.3999999999999773,0.49844236760124133,19.199999999999818,-2.0,0.0,0.18764153995470723
TRX-10008,PROD-3771,2025-11-03,1.0,1404.98,10.38,6.0,Sin_Informacion,Medellin,App,2025,2025-11,2025Q4,False,False,False,False,1404.98,1394.6,0.7388005523210295,False,-9.0,93,True,,,1072.9673722533234,,,,,,,,,,,,,,,True,2.0,2.0,2.0,31.150000000000002,False,No,Pasivo,True,True,332.01262774667657,23.63112839660896,332.01262774667657,-9.0,1404.98,
TRX-10009,PROD-3233,2025-03-21,3.0,701.4,63.82,26.0,Sin_Informacion,Medellin,Físico,2025,2025-03,2025Q1,False,False,False,False,2104.2,2040.3799999999999,3.032981655736147,True,11.0,320,True,Smartphones,1514.0,463.84,245.0,27.5,Norte,2024-05-13,False,False,False,25-30 días,False,628.0,702253.76,6.179591836734694,True,True,False,,,,,,,,False,False,237.56,33.869404049044775,712.6800000000001,11.0,0.0,0.18093855829704886
