SKU_ID,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision,Categoria_Imputada,Stock_Imputado,Costo_Unitario_Winsorizado,Lead_Time_Dias_Original,Lead_Time_Imputado,Antiguedad_Revision_Dias,Valor_Inventario,Ratio_Stock_Reorden,Alta_Disponibilidad,Registro_Confiable
PROD-1000,Smartphones,1058.0,870.38,259,27.5,Norte,2025-11-17,False,True,False,25-30 días,False,75,920862.04,4.084942084942085,True,False
PROD-1001,Accesorios,476.0,1397.26,169,27.5,Norte,2024-03-05,False,False,False,25-30 días,False,697,665095.76,2.8165680473372783,True,True
PROD-1002,Monitores,1209.0,611.62,214,5.0,Sur,2024-06-21,False,False,False,5,False,589,739448.58,5.649532710280374,True,True
PROD-1003,Smartphones,1825.0,145.94,187,10.0,Sur,2025-01-07,False,False,False,10,False,389,266340.5,9.759358288770054,True,True
PROD-1004,Smartphones,1713.0,77.78,105,5.0,Sur,2024-07-04,False,False,False,5,False,576,133237.14,16.314285714285713,True,True
PROD-1005,Laptops,470.0,1248.94,126,10.0,ZONA_FRANCA,2025-02-24,True,False,False,10,False,341,587001.8,3.7301587301587302,True,False
PROD-1006,Monitores,1651.0,810.87,181,27.5,Norte,2025-04-17,False,False,False,25-30 días,False,289,1338746.37,9.121546961325967,True,True
PROD-1007,Monitores,966.0,1174.1,187,5.0,Norte,2024-07-13,False,False,False,,True,567,1134180.5999999999,5.165775401069519,True,False
PROD-1008,Smartphones,963.0,389.92,219,10.0,Norte,2025-03-07,False,False,False,10,False,330,375492.96,4.397260273972603,True,True
PROD-1009,Tablets,66.0,550.37,123,27.5,Norte,2025-05-18,False,False,False,25-30 días,False,258,36324.42,0.5365853658536586,False,True
PROD-1010,Smartphones,1317.0,0.05,201,27.5,Sur,2024-12-02,False,False,False,25-30 días,False,425,65.85000000000001,6.552238805970149,True,True
PROD-1011,Smartphones,533.0,1444.16,133,5.0,Norte,2026-01-26,False,False,False,5,False,5,769737.28,4.007518796992481,True,True
PROD-1012,Smartphones,344.0,1018.41,267,5.0,Norte,2026-01-26,False,False,False,5,False,5,350333.04,1.2883895131086143,False,True
PROD-1013,Smartphones,1037.0,1403.15,146,5.0,Norte,2025-07-25,False,False,False,,True,190,1455066.55,7.102739726027397,True,False
PROD-1014,Laptops,21.0,434.97,123,0.0,BOD-EXT-99,2025-09-06,True,False,False,Inmediato,False,147,9134.37,0.17073170731707318,False,False
PROD-1015,Monitores,223.0,936.62,164,3.0,Occidente,2024-12-23,False,False,False,3,False,404,208866.26,1.3597560975609757,False,True
PROD-1016,Accesorios,1963.0,1033.82,117,0.0,ZONA_FRANCA,2025-05-19,False,False,False,Inmediato,False,257,2029388.66,16.77777777777778,True,True
PROD-1017,Laptops,1293.0,510.45,143,0.0,Norte,2024-10-10,True,False,False,Inmediato,False,478,660011.85,9.041958041958042,True,False
PROD-1018,Laptops,287.0,1279.76,175,5.0,ZONA_FRANCA,2025-11-03,True,False,False,,True,89,367291.12,1.64,False,False
