Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta
TRX-10000,PROD-3619,25/04/2025,-5,1752.48,,999,Entregado,Bucaramanga,Físico
TRX-10100,PROD-1899,01/02/2026,-5,191.03,68.77,11,Retrasado,Bogotá,WhatsApp
TRX-10200,PROD-3997,31/05/2025,-5,1354.72,41.72,999,En Camino,MED,Online
TRX-10300,PROD-3671,29/11/2024,-5,1886.06,,5,Entregado,Barranquilla,App
TRX-10400,PROD-3881,30/10/2024,-5,1944.96,44.53,999,,Cali,Físico
TRX-10500,PROD-3703,07/12/2024,-5,329.5,83.56,25,En Camino,BOG,Online
TRX-10600,PROD-3536,12/11/2024,-5,58.6,,999,Perdido,Bogotá,App
TRX-10700,PROD-3358,09/03/2025,-5,1289.76,19.99,5,Entregado,Barranquilla,Online
TRX-10800,PROD-3828,15/09/2025,-5,1966.6,34.8,999,Entregado,Medellín,Físico
TRX-10900,PROD-2742,12/12/2025,-5,741.56,,9,Perdido,BOG,WhatsApp
TRX-11000,PROD-1643,18/03/2025,-5,711.6,78.98,999,En Camino,MED,WhatsApp
TRX-11100,PROD-3253,18/12/2024,-5,442.81,32.02,15,Perdido,Bogotá,Físico
TRX-11200,PROD-2682,24/12/2024,-5,758.48,,999,Perdido,Cali,Físico
TRX-11300,PROD-3238,17/01/2026,-5,1713.12,79.2,5,Entregado,Barranquilla,Online
TRX-11400,PROD-3394,23/08/2025,-5,1913.7,91.3,999,En Camino,Medellín,Online
TRX-11500,PROD-3707,09/09/2025,-5,289.32,,10,,Barranquilla,Físico
TRX-11600,PROD-1532,09/07/2025,-5,1293.0,6.73,999,,Medellín,App
TRX-11700,PROD-1454,15/08/2025,-5,1525.88,23.52,9,Retrasado,Barranquilla,WhatsApp
TRX-11800,PROD-3023,26/04/2025,-5,741.88,,999,,Bogotá,App
TRX-11900,PROD-2432,27/01/2025,-5,939.1,13.57,6,En Camino,Bogotá,Físico
TRX-12000,PROD-1656,28/12/2024,-5,780.81,70.33,999,Perdido,BOG,Online
TRX-12100,PROD-1066,18/05/2025,-5,1163.21,,9,En Camino,Barranquilla,App
TRX-12200,PROD-2488,14/10/2025,-5,762.44,32.74,999,Perdido,BOG,App
TRX-12300,PROD-3944,07/08/2025,-5,1237.94,64.56,3,Retrasado,Ventas_Web,Online
TRX-12400,PROD-2280,30/07/2025,-5,878.42,,999,Retrasado,MED,App
TRX-12500,PROD-1159,22/01/2025,-5,316.47,92.77,12,Retrasado,Medellín,Online
TRX-12600,PROD-3839,15/01/2026,-5,636.2,23.41,999,En Camino,Barranquilla,Online
TRX-12700,PROD-1037,12/11/2025,-5,597.27,,18,Retrasado,Medellín,Físico
