Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Anio_Venta,Mes_Venta,Trimestre_Venta,Ciudad_Invalida_Origen,Cantidad_Sospechosa_Origen,Costo_Envio_Imputado,Tiempo_Entrega_Imputado,Ingreso_Bruto,Ingreso_Neto_Logistico,Ratio_Envio_Venta,Entrega_Tardia,Brecha_SLA,Antiguedad_Dias,Registro_Confiable
TRX-10000,PROD-3619,2025-04-25,7.0,1752.48,51.93,15.0,Entregado,Bucaramanga,Físico,2025,2025-04,2025Q2,False,True,True,True,12267.36,12215.43,0.42331846460852207,False,0.0,285,False
TRX-10001,PROD-1456,2025-07-29,12.0,686.88,67.16,15.0,Entregado,,WhatsApp,2025,2025-07,2025Q3,True,False,False,False,8242.56,8175.4,0.8147954033698269,False,0.0,190,False
TRX-10002,PROD-1102,2025-05-31,2.0,402.06,32.55,13.0,Perdido,Medellin,Físico,2025,2025-05,2025Q2,False,False,False,False,804.12,771.57,4.047903298015221,False,-2.0,249,True
TRX-10003,PROD-2126,2026-01-23,4.0,665.98,62.64,12.0,Perdido,Medellin,Online,2026,2026-01,2026Q1,False,False,False,False,2663.92,2601.28,2.3514219646235626,False,-3.0,12,True
TRX-10004,PROD-2003,2025-10-09,5.0,1222.62,52.91,15.0,Entregado,Bogota,App,2025,2025-10,2025Q4,False,False,False,False,6113.099999999999,6060.19,0.8655183131308175,False,0.0,118,True
TRX-10005,PROD-1914,2025-11-05,2.0,740.61,25.63,29.0,Retrasado,Medellin,Online,2025,2025-11,2025Q4,False,False,False,False,1481.22,1455.59,1.7303304033161853,True,14.0,91,True
TRX-10006,PROD-1571,2025-06-20,12.0,1349.06,30.32,23.0,Sin_Informacion,Bogota,Físico,2025,2025-06,2025Q2,False,False,False,False,16188.72,16158.4,0.18729090378979932,True,8.0,229,True
TRX-10007,PROD-1419,2025-11-18,8.0,481.5,21.21,13.0,Perdido,Cali,App,2025,2025-11,2025Q4,False,False,False,False,3852.0,3830.79,0.5506230529595015,False,-2.0,78,True
TRX-10008,PROD-3771,2025-11-03,1.0,1404.98,10.38,6.0,Sin_Informacion,Medellin,App,2025,2025-11,2025Q4,False,False,False,False,1404.98,1394.6,0.7388005523210295,False,-9.0,93,True
TRX-10009,PROD-3233,2025-03-21,3.0,701.4,63.82,26.0,Sin_Informacion,Medellin,Físico,2025,2025-03,2025Q1,False,False,False,False,2104.2,2040.3799999999999,3.032981655736147,True,11.0,320,True
TRX-10010,PROD-1356,2025-04-04,7.0,917.18,68.91,14.0,Entregado,Bogota,App,2025,2025-04,2025Q2,False,False,False,False,6420.259999999999,6351.349999999999,1.073321018151913,False,-1.0,306,True
TRX-10011,PROD-3418,2025-12-07,10.0,1119.91,20.77,3.0,Devuelto,Bogota,Físico,2025,2025-12,2025Q4,False,False,False,False,11199.1,11178.33,0.18546133171415558,False,-12.0,59,True
